merchant_id,ramp_up_date,rampup_100_percent_flag,blacklisted_flag
JrKZee9eLf8or1,2024-06-21,false,true
HbBMMdO5aQ2uFB,2024-06-13,false,false
FewhAO9J6HKu8c,2024-06-21,false,false
IJr2PJrzG8zAip,2024-06-21,false,false
IbHFCDWA6YSny8,2024-06-21,false,false
HM9SX9yyh9g6J1,2024-06-21,false,false
Hdv00wiAvfJzJe,2024-06-21,false,false
JvvchGHFsdIXjx,2024-06-21,false,false
GcCu3RdpOUS2rs,2024-06-21,false,false
GSRwa6RYhiYsRb,2024-06-21,false,false
JnLrOqCLRS0PgJ,2024-06-13,false,false
KdyfmtBTMrzQCv,2024-06-21,false,false
KQ4GrVUbpOvGWk,2024-06-13,false,false
HNomzjcB1CVVRv,2024-06-13,false,false
D20A1BciwXdCcS,2024-06-21,false,false
K0oge7haoPly06,2024-06-21,false,false
KLITHExSmqbGiH,2024-06-21,false,false
H4iGQunwAyhvSx,2024-06-21,false,false
I6M7aODAmNKPsG,2024-06-21,false,false
IzgcsDMzaDaTjb,2024-06-21,false,false
CoPX13i2kztC9z,2024-06-21,false,false
IymCx1CjwCpA8b,2024-06-21,false,false
FIJnn7SuNgXWhL,2024-06-21,false,false
FEgdIYS2JoHuFA,2024-06-13,false,true
GpapbBhJPsL236,2024-06-13,false,false
CPTrQI1gpsmGnE,2024-06-13,false,true
KoDato99RwREej,2024-06-21,false,true
GXtA692Iz0xCBm,2024-06-13,false,false
JCUnvIpuAYobqq,2024-06-21,false,false
HlmiLCCRRcnFjG,2024-06-21,false,false
KXJXfW7UVk9nKG,2024-06-21,false,false
DOKspiCbhj5mNK,2024-06-21,false,false
D0zXioS1Srlb6c,2024-06-13,false,false
FgsJzMJlzeLUAA,2024-06-21,false,false
KAepcQGVe44EIX,2024-06-13,false,false
CpCHYpXUonfbmZ,2024-06-13,false,false
G2XauZuE60pZme,2024-06-21,false,false
HkaYbbqOIGLxmk,2024-06-21,false,false
IbJ48gvnG3c332,2024-06-21,false,false
JH9sMAgIq2jgop,2024-06-13,false,false
JcGHzqvkObR45f,2024-06-13,false,false
JLA1apWbsonSUr,2024-06-21,false,false
FlZboajmwJg1Vh,2024-06-21,false,true
Jb6TMQ5dQmrKE6,2024-06-13,false,false
DK9Few4Bi7fAiT,2024-06-21,false,true
Et6O4hlZBrWp4w,2024-06-13,false,false
GlHbofhuspwr8q,2024-06-21,false,false
K1sPELj50pK2P0,2024-06-13,false,false
EjGw93xhVfStgc,2024-06-13,false,false
GCvEpm5JEwCxUV,2024-06-21,false,false
IknnDr4GgG2StD,2024-06-21,false,false
MX25crZfM064gU,2024-06-21,false,false
D717VUIhQlVv1k,2024-06-21,false,false
FHWcZif91d7fap,2024-06-21,false,false
7DPluguWErARzy,2024-06-13,false,false
DqqzKDf5P58Oms,2024-06-21,false,false
J9nQva5xc0OKGX,2024-06-21,false,false
DI7apkc7s2pm76,2024-06-21,false,false
AC6Pu8nxiomq4o,2024-06-13,false,false
HcK2riqWdNWmSp,2024-06-21,false,false
JFddzPmRkF4wCT,2024-06-21,false,false
GRUtOYRM70AngO,2024-06-21,false,false
JTEWOkyXNFbelJ,2024-06-21,false,false
65GoQIB3RU1Yvh,2024-06-21,false,false
IufyHcl48Mf4X1,2024-06-21,false,false
IYEVRwlRwhlE4E,2024-06-21,false,false
FeXSQ6KOsE8AKM,2024-06-21,false,false
Js2IcFiSQ1kmVi,2024-06-21,false,false
K4fIyNLMHvcGyx,2024-06-21,false,false
HtNa4tsOhgTVC2,2024-06-21,false,false
DtakY6fXb0LP04,2024-06-21,false,false
HJSoRFbW8eT8GQ,2024-06-21,false,false
IU9kdbnVUmJtiu,2024-06-21,false,false
CzPMALZEk99LoR,2024-06-21,false,false
FYuETR0kQyPG6K,2024-06-21,false,false
KibISso6vJU9Ow,2024-06-13,false,false
GLsp4flN0SLmPD,2024-06-13,false,false
KgZYcJCtavonTj,2024-06-21,false,false
JT4kbpUCiqsgLy,2024-06-13,false,false
CsDegqII5l92R8,2024-06-13,false,false
HIA4H0w4brGoC3,2024-06-13,false,false
KZwBy5CnUbthGj,2024-06-21,false,false
JjKijdZKj0Srmr,2024-06-13,false,false
KFppROGLb3OW4W,2024-06-21,false,false
FlGdDSfsCgVWo5,2024-06-21,false,false
Iwf3JxBVW2gVdB,2024-06-13,false,false
CjB8A2eg8toQoP,2024-06-21,false,false
DMkw3zplq1wf5s,2024-06-13,false,false
GPvUThKsBj6Z84,2024-06-21,false,false
KZgwZyIAv7UTb0,2024-06-21,false,false
JvBjh9L9nuiFKi,2024-06-21,false,false
G8cF9rlCVG04yf,2024-06-13,false,false
Jqrt4np3L9PGiY,2024-06-21,false,false
FtXLgA4jkhBrMO,2024-06-13,false,false
KRyU6i4pz3kjHj,2024-06-21,false,false
HIwEv0VjJIhPjf,2024-06-21,false,false
HIx5fG2ruC5qAx,2024-06-21,false,false
DNzDt51nqmpNHQ,2024-06-13,false,false
EWm0YqdDXRDCla,2024-06-21,false,false
J5KLPwngQYfFm2,2024-06-13,false,false
IoOVf7uaiMCXOB,2024-06-13,false,false
IcnkQdJQMvTZqh,2024-06-21,false,false
FO8wE5y3FsjsYd,2024-06-21,false,false
KgkpSZNlIUdR0t,2024-06-13,false,false
KBSgIZFvwKyPBk,2024-06-21,false,false
G5IjGUNHZ5gCOz,2024-06-21,false,false
MsnC2wA83sM6x4,2024-06-13,false,false
MYEW99env1SQL9,2024-06-13,false,false
LpHjT492BzmvUg,2024-06-13,false,false
ND9aKHcIZ7sJ4e,2024-06-21,false,false
MupiEOcn7OA7jY,2024-06-13,false,false
LcyBrBmQrmz7Rz,2024-06-21,false,false
9i9CtFaNKDHwUZ,2024-06-13,false,false
KF8M225Pbvus13,2024-06-21,false,false
KQVwo9IInieiaP,2024-06-21,false,false
NExx32pR22SWzW,2024-06-21,false,false
HQSlXfoj6o8uvh,2024-06-13,false,false
J5rj9dWLXzuZhu,2024-06-13,false,false
LQU6UrtOfbEUXW,2024-06-21,false,false
FczZHutchzagkZ,2024-06-13,false,false
Fqo9UcuEHtsDJf,2024-06-21,false,false
GAwYaL6wFf5Az9,2024-06-21,false,false
NGzQBcuyxSWHgM,2024-06-21,false,false
JfIKkCFjbfFjjX,2024-06-13,false,false
M6SZ0LIYUPGdKQ,2024-06-21,false,false
NKDNkhulk1AhKO,2024-06-13,false,false
NJpfmeAuP13RDX,2024-06-21,false,false
NJhXYEhE4NQpIf,2024-06-21,false,false
LCaqQQ8k7KFqsk,2024-06-13,false,false
N4yGqlXsLnc0G8,2024-06-13,false,false
Lc6ar0MUzJZ40r,2024-06-21,false,false
LpuVZHWmn9zIhL,2024-06-13,false,false
J80vcVntxwYEk0,2024-06-21,false,false
LyWqIUl8mvutUD,2024-06-21,false,false
NIOn2z4SkXrZHR,2024-06-13,false,false
LZgnkQCzZSJJEG,2024-06-13,false,false
MVTTGoNHyetZzK,2024-06-13,false,false
LwgJCAjE55tVVT,2024-06-13,false,false
Jrx3EMLvIoWkeN,2024-06-13,false,false
LqDmgNxDCdB8d6,2024-06-13,false,false
LT4wkHAeKGifRy,2024-06-13,false,false
J6Wcn9mZV5anRh,2024-06-13,false,false
JYxRVAsCrlqcnv,2024-06-13,false,false
NI9byfUwVflShr,2024-06-13,false,false
JWgEGaQfE6iKKX,2024-06-21,false,false
EjPGwNqcg1a0zo,2024-06-21,false,false
Ms59BJLxaIkSPH,2024-06-21,false,false
DAaRk5TBsc4pSD,2024-06-21,false,false
NIvtFogPMf4qE2,2024-06-13,false,false
NOxIS24ZQ306ly,2024-06-13,false,false
6qj1ZQkRkD8PCu,2024-06-21,false,false
Mx9DKnBn0KnZ2v,2024-06-21,false,false
MdLS60qBE8xP0E,2024-06-13,false,false
MvBo4WpiN5TBsD,2024-06-13,false,false
KIEXgjqQ2rPLXL,2024-06-13,false,false
B57odQhW4egIri,2024-06-13,false,false
HkIQwblZUXPM9l,2024-06-13,false,false
KgEExBxvE3LJP5,2024-06-13,false,false
NM1d0DcWzBFznx,2024-06-13,false,false
NOtxkzih80xB4f,2024-06-13,false,false
N9I95pEWQyx8vV,2024-06-13,false,false
NGzZ0wx4CWayqN,2024-06-13,false,false
K3Emlzd0UY4VVO,2024-06-13,false,false
LVE5dZZriZrZTR,2024-06-21,false,false
Jpy8JuBow3o93s,2024-06-13,false,false
NPCAUSRaV9GWWe,2024-06-13,false,false
J532gaxXszOqXl,2024-06-21,false,false
ED73SB37KMBlvc,2024-06-21,false,false
HZ9QoltdNk3Vvl,2024-06-21,false,false
NRvQITc6SjjAgW,2024-06-13,false,false
Ig0lZbKakPNKyx,2024-06-21,false,false
FOwnwJRs35rERL,2024-06-13,false,false
KcMRkcfg4MSmZq,2024-06-21,false,false
Mq2rnieJN5P1pC,2024-06-21,false,false
KPCA6H7SbXdyuH,2024-06-21,false,false
NFIVrdjI7DpSqA,2024-06-13,false,false
A2cD5S7atEg9Oj,2024-06-21,false,false
NFl3bHAdIrt15p,2024-06-13,false,false
FD4ln23ZmgU6uG,2024-06-21,false,false
FGd8WBgAox1P4Z,2024-06-21,false,false
NHfjUIWy7rjBMN,2024-06-13,false,false
KaN70Dzklrl65y,2024-06-21,false,false
FxX04NUKPJn2oj,2024-06-13,false,false
LgIUQJ6SPsWvPD,2024-06-21,false,false
NRfHwbHjbbOikh,2024-06-13,false,false
NQs1Or1UJvjTOK,2024-06-13,false,false
GauTGhBWzaR7fd,2024-06-21,false,false
NTZbDIjNVXWYda,2024-06-21,false,false
HVAS7QdhFxKFcd,2024-06-21,false,false
LlZ4ZIJTnUQf1L,2024-06-13,false,false
C0YKPqVYaYZXNs,2024-06-21,false,false
JJuXrdBN6p6XN2,2024-06-21,false,false
MRzVMnmy3y4xN9,2024-06-13,false,false
JGnXqLRqwN795x,2024-06-21,false,false
CYxohuAtWqsKUP,2024-06-21,false,false
FbN6hGm2oiTyMS,2024-06-21,false,false
KHg3gEuOqu84In,2024-06-13,false,false
HUO0PtpXFZoCS0,2024-06-21,false,false
MRVL87R8KP9bk0,2024-06-13,false,false
KI9AHchMAn8yDP,2024-06-13,false,false
JGtT9UftgZ8Yg1,2024-06-13,false,false
K3xH68kMevHWWS,2024-06-21,false,false
NVEbkycTyys2Ax,2024-06-21,false,false
MgrhkXhPjMuvTH,2024-06-13,false,false
IuetDVDnWJTEy2,2024-06-21,false,false
MRVkBlEjc0LSLk,2024-06-13,false,false
NSWwH34r7gqiGA,2024-06-13,false,false
IC1VHWq9ZnGttg,2024-06-21,false,false
AcaKecjwqkO2At,2024-06-21,false,false
JLsV4He5XPZtmG,2024-06-13,false,false
O5gQTmb3JFLfi8,2024-06-13,false,false
FntA6kCJFotJkB,2024-06-21,false,false
DqG0dbfsIBqCcm,2024-06-21,false,false
ItCGG1mNhjSczM,2024-06-13,false,false
Cq6bxbykXwkqN0,2024-06-21,false,false
N9sGWlo5yGucZB,2024-06-13,false,false
GJ81glEuXt9JWq,2024-06-21,false,false
IQZDhfQvOhAdlM,2024-06-21,false,false
MgXH7otDGpVu02,2024-06-21,false,false
NEVhoQYszs0VnD,2024-06-21,false,false
DCcqdtpJn0ICWM,2024-06-21,false,false
KkBnsHri5PKjm7,2024-06-13,false,false
J9iWylMotnLb9d,2024-06-21,false,false
CQwwlh9oa7Y8Nb,2024-06-13,false,false
GO2zp5qHbglNa3,2024-06-21,false,false
N2oGWeQXwfOMMN,2024-06-13,false,false
LrniKujH8jlBY5,2024-06-13,false,false
MdlMocj4pdedJt,2024-06-21,false,false
LY8TIQOiqn4WOM,2024-06-21,false,false
HcjOn4OcvYb3BF,2024-06-21,false,false
LWZCEvqWHy3CXv,2024-06-13,false,false
GcxnanEcoVPDcA,2024-06-13,false,false
JezfSQ0Cn4PMn8,2024-06-21,false,false
Ihxx32pdofjFCJ,2024-06-21,false,false
NhuXuSl2wxOn0R,2024-06-13,false,false
FGf2q0akXk9h6N,2024-06-21,false,false
NEHiz3KdavPRCF,2024-06-21,false,false
Gk7LBwydd7KZMR,2024-06-21,false,false
O5XXcVzVE30tFi,2024-06-21,false,false
N3uFtHCvLdSPSA,2024-06-13,false,false
J0YfPfvfLpwbzp,2024-06-21,false,false
NYQaDpptgixrZ2,2024-06-13,false,false
NbUgOFJ9buMdQf,2024-06-13,false,false
KO7IoAHtKwd6bO,2024-06-21,false,false
K3eOgu2L1PXwmF,2024-06-13,false,false
Llsn2lmoHtPBOi,2024-06-21,false,false
M4yaP62XVhBc8z,2024-06-21,false,false
JmVmXf918pNUG6,2024-06-13,false,false
I0WweY4WFv3bSZ,2024-06-21,false,false
Fc0yDPuPGLNYwz,2024-06-21,false,false
KHm2rWUFdeKakp,2024-06-21,false,false
NZs1jqmgJdFHRm,2024-06-13,false,false
NnQu4JduzXgm87,2024-06-21,false,false
LcQCFNkf8Y4XD4,2024-06-13,false,false
MYAAR5fRcEJiqn,2024-06-13,false,false
MI0XxhHyofh3mP,2024-06-13,false,false
KTdpFLBeaSah8v,2024-06-21,false,false
O0qEABD6x28flD,2024-06-13,false,false
O4Sac6Z3FSHmKH,2024-06-21,false,false
Feqrn6hUvXovT6,2024-06-13,false,false
Mfo7VN22J1m4qg,2024-06-21,false,false
O2nVveeVHmNmoF,2024-06-13,false,false
JI0M4J8UgBrh0i,2024-06-13,false,false
G1lCHflrrUy1nk,2024-06-13,false,false
NS0kRPH0T4mPYb,2024-06-21,false,false
JtayA4JJu7a5wg,2024-06-13,false,false
EHkgVPavUPHkxy,2024-06-21,false,false
GWc9dopniGX60B,2024-06-21,false,false
NEuyiU0OaEQu9E,2024-06-13,false,false
M9jxnFJk70Q14p,2024-06-13,false,false
MTr0iXqNKxVlnK,2024-06-13,false,false
NyVu90LzoJJ8KV,2024-06-13,false,false
NStoG9Ey7Nbgnv,2024-06-13,false,false
O5YVBeKAOz8Joq,2024-06-13,false,false
LSXFAgbMAmE8PY,2024-06-13,false,false
CrY42hS5MgeZN8,2024-06-13,false,false
KFSYmRrUgA0LEl,2024-06-13,false,false
KdqBOfF2MWZxE3,2024-06-13,false,false
LelXiF8R02nFiB,2024-06-13,false,false
Nwsm3uVpEXZYBV,2024-06-13,false,false
7uRqOkF3kAG2U5,2024-06-21,false,false
NvGdABx3ZgTLoR,2024-06-21,false,false
I7wak2JrFtBPpP,2024-06-21,false,false
NJmuDy921ZuHhK,2024-06-13,false,false
NypDfk6lv2fXOe,2024-06-13,false,false
MwnmBVDVpxtN3j,2024-06-13,false,false
NPem1jlHvfMnXL,2024-06-13,false,false
IIH9Z4VN6LQmbY,2024-06-13,false,false
M4Sh0Q25W01Qpq,2024-06-13,false,false
Nw0l1iRDaVji3R,2024-06-13,false,false
N76XKBTZnb10IQ,2024-06-13,false,false
F3dDgZfneRXhUs,2024-06-13,false,false
FBYCwRG79DiUvo,2024-06-13,false,false
JTpcUxPbx6bKhe,2024-06-21,false,false
NJGnnEUOg7BqQu,2024-06-13,false,false
F3GE0VSxKde1Kf,2024-06-13,false,false
GP4xKOnykfL8mM,2024-06-13,false,false
FxnrUv86RwDmDi,2024-06-21,false,false
Ns6FxFgsAC0TK1,2024-06-21,false,false
MCnOcrpJWQ2NOV,2024-06-21,false,false
NEa0dJv5r7qCfS,2024-06-21,false,false
F0logvgmEixA1v,2024-06-13,false,false
O7WDa6F7DVpgag,2024-06-21,false,false
Moz6xKvXbtiAMw,2024-06-13,false,false
LtnpREALM9H9Uz,2024-06-21,false,false
Jcij61E37DW0Sg,2024-06-21,false,false
MkCpq9pxBPqe3m,2024-06-21,false,false
Ly6tyNr7ffwMvw,2024-06-21,false,false
CxVqWKrBI2PQ2q,2024-06-21,false,false
Kif0Vv9MkZLZ8G,2024-06-13,false,false
9nFEqnj2QdZqUF,2024-06-21,false,false
F9WhL2lDmVxgDw,2024-06-21,false,false
Au610dz5zpVKJ5,2024-06-21,false,false
LQxbkE4qBuNRCP,2024-06-13,false,true
4bnk7yysqr5Wx5,2024-06-13,false,false
KS1vRdRxpiV5Xh,2024-06-21,false,false
LSA2mFnXfAXdLS,2024-06-13,false,false
EtHJCtiuRSZRCz,2024-06-13,false,false
Ayntanz1sOZqNl,2024-06-13,false,false
GrGXBEQ8pZL6j9,2024-06-13,false,false
9NVPPQuTqF4cYx,2024-06-21,false,false
By88rXjPfKWp3c,2024-06-13,false,false
FilqCVGdQeE7Yx,2024-06-13,false,false
DuN9BbgJIQ1gX4,2024-06-13,false,false
